product_id,product_number,name,gender_category,size_gender,price_group,price_krw,base_price_krw,promo_price_krw,price_flags,available_sizes_count,availability_status,availability_label,rating_average,rating_count,image_url,detail_url,sales,store_stock_only
E485034-000,,PEANUTS UT(그래픽T)C,UNISEX,MEN,00,12900,12900,12900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",2,available,판매중,4.8,5,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/485034/item/krgoods_55_485034_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E485034-000/00?colorDisplayCode=55,True,False
E485049-000,,소프트립가디건,WOMEN,WOMEN,00,19900,19900,19900,"[{""code"": ""discount"", ""name"": ""2026/06/16부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",1,available,판매중,4.9,36,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/485049/item/krgoods_69_485049_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E485049-000/00?colorDisplayCode=69,True,False
E485052-000,,PEANUTS UT(그래픽T)A,UNISEX,MEN,00,12900,12900,12900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",4,available,판매중,5,5,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/485052/item/krgoods_30_485052_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E485052-000/00?colorDisplayCode=30,True,False
E485065-000,,NY POP ART UT(그래픽T)Keith Haring,MEN,MEN,00,12900,12900,12900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",6,available,판매중,5,2,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/485065/item/krgoods_68_485065_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E485065-000/00?colorDisplayCode=68,True,False
E485068-000,,NY POP ART UT(그래픽T)Basquiat,MEN,MEN,00,12900,12900,12900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",3,available,판매중,4,2,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/485068/item/krgoods_64_485068_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E485068-000/00?colorDisplayCode=64,True,False
E485131-000,,프리미엄리넨오버사이즈셔츠(반팔)스트라이프,MEN,MEN,01,29900,29900,29900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}, {""code"": ""colorSizeLimitedPrice"", ""name"": ""옵션할인"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",3,available,판매중,4.6,3,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/485131/item/goods_01_485131_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E485131-000/01?colorDisplayCode=01,True,False
E485144-000,,BT AIRism크롭레깅스(릴랙스핏)과일,BABY,BABY,00,5000,5000,5000,"[{""code"": ""discount"", ""name"": ""2026/06/30부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",4,available,판매중,4.7,12,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/485144/item/goods_10_485144_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E485144-000/00?colorDisplayCode=10,True,False
E485198-000,,쇼트삭스3P(립라인),WOMEN,WOMEN,00,9900,9900,9900,"[{""code"": ""discount"", ""name"": ""2026/06/23부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",2,available,판매중,4.5,2,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/485198/item/goods_01_485198_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E485198-000/00?colorDisplayCode=01,True,False
E485200-000,,쇼트삭스3P(플라워),WOMEN,WOMEN,00,9900,9900,9900,"[{""code"": ""discount"", ""name"": ""2026/06/23부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",1,available,판매중,5,1,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/485200/item/goods_69_485200_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E485200-000/00?colorDisplayCode=69,True,False
E485224-000,,폴로스웨터(반팔)컬러블록,WOMEN,WOMEN,00,29900,29900,29900,"[{""code"": ""discount"", ""name"": ""2026/07/02부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",6,available,판매중,4.8,21,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/485224/item/krgoods_01_485224_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E485224-000/00?colorDisplayCode=01,True,False
E485251-000,,리넨블렌드이지쇼트팬츠,WOMEN,WOMEN,00,19900,19900,19900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",4,available,판매중,4.9,13,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/485251/item/krgoods_37_485251_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E485251-000/00?colorDisplayCode=37,True,False
E485284-000,,AIRism코튼브라캐미솔원피스(스트라이프),WOMEN,WOMEN,00,29900,29900,29900,"[{""code"": ""discount"", ""name"": ""2026/06/23부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",2,available,판매중,4.5,4,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/485284/item/krgoods_65_485284_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E485284-000/00?colorDisplayCode=65,True,False
E485322-000,,BT이지쇼트팬츠(프린트),BABY,BABY,00,12900,12900,12900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",3,available,판매중,5,1,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/485322/item/goods_30_485322_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E485322-000/00?colorDisplayCode=30,True,False
E485331-000,,KIDS Jason Polan UT(그래픽T)C,KIDS,KIDS,00,9900,9900,9900,"[{""code"": ""discount"", ""name"": ""2026/06/23부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",6,available,판매중,5,2,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/485331/item/krgoods_68_485331_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E485331-000/00?colorDisplayCode=68,True,False
E485332-000,,KIDS Jason Polan UT(그래픽T)D,KIDS,KIDS,00,9900,9900,9900,"[{""code"": ""discount"", ""name"": ""2026/06/23부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",4,available,판매중,4.7,4,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/485332/item/krgoods_09_485332_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E485332-000/00?colorDisplayCode=09,True,False
E485333-000,,KIDS Jason Polan UT(그래픽T)E,KIDS,KIDS,00,9900,9900,9900,"[{""code"": ""discount"", ""name"": ""2026/06/23부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",2,available,판매중,5,1,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/485333/item/krgoods_00_485333_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E485333-000/00?colorDisplayCode=00,True,False
E485334-000,,KIDS Jason Polan UT(그래픽T)F,KIDS,KIDS,00,9900,9900,9900,"[{""code"": ""discount"", ""name"": ""2026/06/23부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",5,available,판매중,4.6,3,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/485334/item/krgoods_03_485334_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E485334-000/00?colorDisplayCode=03,True,False
